planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
GALLETERA & INSTANTANEOS,2026-04-01,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 05:15 horas, un colaborador tercero se encontraba trasladando bandejas con producto granel de galleta Glacita, esto  mediante el uso de una carretilla hidráulica; y al momento de pasar por la rampa de ingreso de la linea 4, pierde el control, lo que ocasionó la pérdida de equilibrio y el deslizamiento de las bandejas al piso.",,,,tablero_2025_2026
COCHABAMA,2026-04-02,ALICORP BOLIVIA,DANO MATERIAL,"El día de hoy, 02 de abril de 2026, aproximadamente a las 10:30 horas, mientras un camión de la empresa COTRAINCO se encontraba en proceso de ingresar a la posición 3 para su carguío de exportación, el mismo siendo guiado por el personal de estibaje. El chofer no se percata que su parachoque de la parte de atrás (punto ciego) se engancha en la baranda lado baños, provocando el desprendimiento y daños materiales en dicha estructura.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-02,ALICORP SAA,INCIDENTE,"Siendo las 12:50 p.m. el trabajador Operador de Moldeado el trabajador con ayuda de una plataforma móvil sube a la mesa de la estación de moldeado para realizar labores de limpieza de estructura de cilindros laminadores, culminada la actividad el trabajador baja y posiciona su pie derecho sobre un balde con agua que su compañero había dejado luego de retirar la plataforma móvil, causándole una caída a nivel.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-04,ALICORP SAA,INCIDENTE,"Siendo las 10:30 a.m. la trabajadora Operario de Producción de la empresa [NOMBRE] SAC se encontraba realizando labores de alimentación de granel hacia los magazines en la mesa de acomodo de Línea 4 envasado, y al momento de apilar la galleta de manera manual aproxima su cabeza contra el magazine causándole un corte superficial en el parpado superior de la vista derecha. ",,,,tablero_2025_2026
NANA,2026-04-04,MASTERBREAD,DANO MATERIAL,"Siendo las 21:10 horas, el auxiliar de almacén se retiraba del área operando el transpaleta eléctrico en retroceso, al realizar la maniobra no se percata que en el piso había residuos de polvillo, el cual género que la rueda se deslice de manera rápida y parte del equipo impacte con la puerta de sala de comprensores. Cabe resaltar que el colaborador no tuvo ningún impacto y procedió a comunicar al lider de turno del evento ocurrido.",,,,tablero_2025_2026
CD HUACHIPA,2026-04-04,ALICORP SAA,DANO MATERIAL,"Aproximadamente a la 01:00 a. m., el colaborador [NOMBRE] (ETV) se encontraba realizando labores de almacenamiento en dicha área. Al momento de ingresar, un order picker accede primero a la zona, y el colaborador procede a seguirlo manteniendo distancia; tras el paso del equipo, el colaborador no se da cuenta que la puerta se encontraba en proceso de cierre automático, impactando con la misma.",,,,tablero_2025_2026
MOLINO CALLAO,2026-04-06,ALICORP SAA,INCIDENTE,"Siendo las 08:15 horas, operador del área de producción se encontraba en los SSHH de los vestuarios, reportó olor a lejía lo cual le ocasionó irritación en los ojos, nariz y garganta. El personal de CLEANED realizaba limpieza en ese momento.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-07,ALICORP SAA,INCIDENTE,"Siendo las 12:00 p.m. la trabajadora se encontraba realizando labores de bandejeo de granel desde la mesa de acomodo de línea 1, y cuando traslada la torre apilada de galletas hacia la bandeja, su antebrazo izquierdo tiene contacto con el vástago inferior del perno causándole excoriación (El perno este situado en uno de los extremos del puente situado frente a la envasadora C5).",,,,tablero_2025_2026
CD AREQUIPA,2026-04-08,ALICORP SAA,INCIDENTE,"El día miércoles 08 de abril de 2026, durante las operaciones de traslado interno dentro del CD Arequipa, el conductor perteneciente al proveedor [NOMBRE] incurrió en una acción no permitida al subirse a la unidad con el fin de asegurar la carga. Esta práctica contraviene los procedimientos de seguridad establecidos para este tipo de actividades.",,,,tablero_2025_2026
SIDSUR,2026-04-11,ALICORP SAA,INCIDENTE,"Alrededor de las 2:50 p. m., el ayudante de planta se aproxima al cuarto piso y accede a la parte superior de la tolva de afrecho con el fin de verificar un trabajo realizado días previos. Al momento de iniciar el descenso por la escalera, esta se desliza debido a la falta de sujeción, por lo que el trabajador se sostiene apoyando sus brazos en la tolva para evitar una caída. En ese instante, realiza un llamado a su compañero técnico electricista, quien se encontraba en el tercer piso. Su compañero al escucharlo acude en su ayuda, asegurando la escalera para que el trabajador pueda descender de manera segura",,,,tablero_2025_2026
NANA,2026-04-12,MASTERBREAD,ALTO POTENCIAL,"El día 12 de abril, aproximadamente a las 11:30 a.m., un operario de limpieza se encontraba realizando labores de limpieza en el horno directo, específicamente en la zona de la cinta transportadora. Durante el desarrollo de la actividad, la cinta de transporte se puso en funcionamiento de manera no prevista, en un momento en que aún se encontraba personal de limpieza en el interior del equipo. Ante esta situación, el trabajador actuó de manera oportuna y se desplazó rápidamente hacia una zona segura dentro del horno. A los pocos segundos del encendido de la faja, se logró alertar a personal externo, quienes procedieron a detener la faja de transporte.",,,True,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-13,ALICORP SAA,INCIDENTE,"Siendo las 5:15 am, la colaboradora de la empresa Prolabora menciona que se dispone a barrer con prisa y golpea el brazo izquierdo contra la baranda provocándole dolor, informa a su supervisor y es traslada al tópico donde recibe atención, posterior retorna a sus actividades sin inconvenientes",,,,tablero_2025_2026
COCHABAMA,2026-04-13,ALICORP BOLIVIA,ALTO POTENCIAL,"En fecha 13/04/2026, aproximadamente a las 12:10 p.m., durante la ejecución de labores de encarpado en la carrocería de un camión, un operador sufrió una caída desde la parte superior del vehículo. No obstante, el uso adecuado de la línea de vida y el arnés evitó una caída directa al suelo, mitigando la gravedad del incidente. Inmediatamente, el supervisor trasladó al trabajador a la posta médica para su evaluación. ",,,False,tablero_2025_2026
MOLINO CALLAO,2026-04-13,ALICORP SAA,INCIDENTE,"El ayudante de planta se encontraba realizando labores de limpieza en el primer piso del área de embolsado. Durante la actividad, se produjo el rebose de la rosca de subproducto, generando la liberación de polvo que alcanzó sus ojos. Como consecuencia, presentó irritación en el ojo izquierdo por exposición a material particulado. De inmediato se procedió a activar el protocolo de atención con la central de emergencia, solicitando la presencia de la ambulancia para evaluar al colaborador, determinando su evacuación al tópico del predio central",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-15,ALICORP SAA,INCIDENTE,"Aproximadamente a las 16:45 horas, una aprendiz sufrió un corte leve en el dedo índice izquierdo mientras intentaba desatorar galletas en el transportador vertical (magazín). No hubo equipos en marcha",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-16,ALICORP SAA,INCIDENTE,"Aproximadamente a las 01:00 horas, un operador de producción sufrió un golpe leve en el dedo meñique de la mano derecha mientras alimentaba paquetes de galletas desde las bandejas hacia faja de pack",,,,tablero_2025_2026
ATP DETERGENTES,2026-04-16,ALICORP SAA,DANO MATERIAL,"Aproximadamente a las 17:00 horas, el operador de montacargas del almacén de Detergentes se encontraba realizando labores de re paletizado del stock de Detergentes situado en el APT de Panetones. Durante la ejecución de la maniobra, se produjo un impacto de la paleta contra la esquina de la pared del almacén, ocasionando daños en la infraestructura.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-16,ALICORP SAA,INCIDENTE,"Aproximadamente a las 15:00 horas del 16-abril, al final de su turno el operador de producción se percató que tenía una herida una herida en el tercer dedo de la mano izquierda, la cual asocia a la manipulación de cajas durante sus labores. Esto fue reportado al Ing. De turno al siguiente día 17-abril.",,,,tablero_2025_2026
NANA,2026-04-17,MASTERBREAD,INCIDENTE,"Aproximadamente a las 04:00 am, el operador de empacado se encontraba manipulando una parihuela para trasladar al área de paletizado. Al bajar la parihuela, parte de ésta se desprende y cae al piso, golpeando parte de su muñeca derecha. La trabajadora no presentó ningún malestar y continuó con sus actividades hasta finalizar su turno. Al día siguiente al realizar movimientos repetitivos sintió que el brazo se empezaba a hinchar y presentaba indicios del golpe, por ende, solicitó retirarse y se procedió con la derivación al área de salud ocupacional Manpower para su atención.",,,,tablero_2025_2026
ATP COCHABAMBA,2026-04-18,ALICORP BOLIVIA,DANO MATERIAL,"El día 18 de abril de 2026, aproximadamente a las 13:10 horas, en el Almacén E de producto terminado, durante el retiro de producto lavandina de los racks, el stretch film que se utiliza para asegurar la carga se engancha en el rack generando la caída de 13 cajas de producto al piso reventando y manchando el área circundante. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-19,ALICORP SAA,INCIDENTE,"Aproximadamente a las 15:50 horas, una operadora en entrenamiento sufrió un corte en la uña del dedo pulgar de la mano izquierda al hacer contacto con el borde de una guía metálica (dedo de arrastre) del transportador de paquetes primarios hacia la máquina pack de bañados.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-21,ALICORP SAA,INCIDENTE,"Siendo las 02:30 a.m. la Aprendiz de Senati se encontraba alimentado granel de [NOMBRE] hacia los magazines de la envasadora C3, mientras realizaba la actividad se suscita un atoro y procede a pulsar la botonera de emergencia, levanta la guarda de seguridad y desatora el granel; y al momento de cerrar la guarda, impacta con su cuarto dedo de la mano izquierda generándole una herida superficial.",,,,tablero_2025_2026
CD LURIN,2026-04-22,INTRADEVCO,INCIDENTE,"El 22 de abril de 2026, el personal del proveedor traslada la paleta de madera sin ayuda de un compañero exponiéndose a lesiones musco-esqueléticas por la mala manipulación. Se detiene la actividad y se le brinda el feedback. El caso se encuentro en proceso de investigación para la determinación de las causas y definición de acciones correspondientes.",,,,tablero_2025_2026
LURIN 4,2026-04-22,INTRADEVCO,INCIDENTE,"El 22/04 a las 16:00, en el área de envasado pulidor, durante la descarga de producto, se produjo un derrame (5 Kg), debido a una condición de la tapa del mezclador. El evento fue detectado de inmediato, procediéndose al cierre de la válvula y a la evacuación del personal cercano al área. No se registraron daños personales ni materiales.",,,,tablero_2025_2026
CD HUACHIPA,2026-04-24,ALICORP SAA,DANO MATERIAL,"Se reporta un incidente en CD Huachipa al promediar las 5:30 am con una unidad - placa D8G 703 de la empresa [NOMBRE]. Se ha producido una sulfatación del borne de la batería,  lo cual generó que la unidad  no pueda arrancar. Se procedió a revisar lo sucedido in situ, detener toda actividad, revisar que no se tengan riesgos por cortocircuito, colocar conos y tacos de seguridad alrededor de la unidad hasta que un técnico especialista pueda solucionar la falla reportada. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-24,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 15:15 horas, en la linea de Instantaneo refrescos una colaboradora se encontraba colocando sobres en los estuches (chicha morada), en eso un companero pasa con una escalera cerca de un ventilador esto provoca que parte del polvo que estaba acumulado en la escalera sea movido con la fuerza del viento y sea expuesto en el airea, haciendo que una parte de ello le caiga en el ojo de la colaborada.",,,,tablero_2025_2026
MOLINO CALLAO,2026-04-25,ALICORP SAA,INCIDENTE,"El día 25/04 a las 23:40 horas aproximadamente, los colaboradores de turno tarde se encontraban a bordo de la movilidad que los traslada del MCA al [NOMBRE] a cargo de la empresa INNOVACION Y OPERACIONES LOGISTICAS S.A. de placa AXI – 036.
La movilidad se encontraba en la Av. Argentina con Av. Faucett a punto de detenerse, sin embargo, aún en movimiento realiza un freno en seco, por la parada imprevista del auto que se encontraba delante de ella; Los colaboradores fueron sacudidos bruscamente al producirse esta frenada repentina.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-26,ALICORP SAA,INCIDENTE,"Aproximadamente a las 21:20 horas un operario sufre un resbalón en una superficie lisa de línea 2, mientras cargaba una bandeja con galleta granel. El operador colocó su mano izquierda en el piso para no caer por completo. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-30,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 22:50 horas, un colaborador se encontraba alimentando galleta casino en la Linea 2 y al momento de girar para apilar las bandejas se resbala por sus propios pies y cae golpeandose con el filo de la plataforma en la espalda.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-04,ALICORP SAA,DANO MATERIAL,"Aproximadamente a la 01:00 a. m., el colaborador [NOMBRE] (ETV) se encontraba realizando labores de almacenamiento en dicha área. Al momento de ingresar, un order picker accede primero a la zona, y el colaborador procede a seguirlo manteniendo distancia; tras el paso del equipo, el colaborador no se da cuenta que la puerta se encontraba en proceso de cierre automático, impactando con la misma.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-05,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 12:40 pm, el colaborador se encontraba realizando la apertura de bolsas de insumos para la preparación de mezclas de instantáneos. Al momento de realizar el corte del cintillo plástico con la cuchilla, coloca el dedo en una posición cercana al punto de contacto, generándole un pequeño corte en el dedo índice de la mano izquierda.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-06,ALICORP SAA,INCIDENTE,"Se reporta un incidente laboral en CD Huachipa. Al promediar la 1 pm, en garita vehicular un personal de G4S se encontraba realizando una llamada telefónica y no se percató de sentarse correctamente en la silla y resbaló al suelo.
Inmediatamente se le dio atención y se realizó tele-consulta con central médica para la revisión con el especialista.  El médico le realizo consultas de evaluación al personal y revisión en caso se tenga algún hematoma. El médico validó que no se tenía alguna observación al respecto, y se cerró la incidencia compartiendo el reporte del médico al personal del incidente. Se reforzó con el personal la importancia de mantener un entorno seguro, movimientos concentrados y cuidado en todo aspecto laboral.",,,,tablero_2025_2026
APT PLANTA 1,2026-05-05,ALICORP SAA,INCIDENTE,"Se reporta un incidente de caída de insumo HLAS (Acido sulfónico) aproximadamente la 8:43 pm del día 05/05. El operador de montacarga se encontraba realizando la descarga de una unidad plataforma y, al momento de posicionarla en el piso para el traslado por parte del operador de transpaleta eléctrica hacia el almacén, se evidenció la caída de varios cilindros. Durante el incidente, uno de los cilindros presentó derrame del producto por la tapa. Como acción inmediata, se cercó y acordonó el área involucrada utilizando el kit antiderrame. Posteriormente, se realizó el recojo del material derramado y la limpieza correspondiente del área afectada. Una vez controlada la situación y asegurada el área, se reiniciaron las operaciones. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-06,ALICORP SAA,INCIDENTE,"El miércoles 06 de mayo, aproximadamente a las 18:40 horas, un operador tercero sufrió un golpe en el pie derecho con la base del timón de una transpaleta manual. El incidente ocurrió cuando el operador intentó subir una pequeña rampa y otra persona intervino para ayudar empujando la carga desde la parte posterior. Debido a la fuerza aplicada durante la maniobra, el operador perdió estabilidad momentáneamente y al levantar el pie impactó contra la base del timón de la transpaleta.",,,,tablero_2025_2026
CAJAMARQUILLA,2026-05-07,MASTERBREAD,DANO MATERIAL,"Siendo las 17:05 horas, la unidad de transporte del cliente INNOVA & DISTRIBUCIÓN, a quien se le realiza la venta de residuos (cliente recoge), maniobrando de retroceso con la carrocería del furgón impacta en la parte superior de la estructura de la escalera que se encuentra anclada al piso, generando un quiebre en la base de la estructura, quedando la escalera inoperativa.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-07,ALICORP SAA,INCIDENTE,"El día 07/05/2026, aproximadamente a las 11:50 horas, el colaborador que se desempeña como operador de máquina se encontraba realizando sus funciones rutinarias cuando, de pronto, en la faja de la D1, por debajo de la escalera, se produjo el atoro de paquetes de galletas. Ante esta situación, el colaborador introdujo la mano en el espacio con la finalidad de liberar la faja; sin
embargo, tuvo contacto con un borde metálico con filo, ocasionándole un corte en la parte baja de la palma de la mano izquierda.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-07,ALICORP SAA,ALTO POTENCIAL,Se reporta un incidente en la planta de [NOMBRE] de producción de Postres – Boato al promediar las 7:30 am el equipo TEKNOTOK 2 generó un amago de incendio. Se procedió a detener toda actividad y derivar el caso con Mantemiento para las acciones correctivas.,,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-08,ALICORP SAA,INCIDENTE,"El día 08/05/2026, aproximadamente a las 07:30 horas, la colaboradora que se desempeña como operaria de producción se encontraba realizando sus funciones de alimentación de galletas a la línea, cuando de pronto se percata que se le generó una pequeña herida en el dedo meñique producto de la fricción durante la tarea.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-08,ALICORP SAA,DANO MATERIAL,"Se reporta un incidente en CD Huachipa al promediar las 09:15PM con una unidad - placa CAI-841 (camión carreta) de la empresa Corporación XianFi S.A.C. Durante el viraje de la unidad, esta impactó levemente en la parte trasera de un montacarga que estaba estacionado de forma provisional (sin operador) cerca del acceso peatonal y muelle de carga. Solo se cuentan con daños materiales (abolladuras, daño en faro y cargador de máquina. Hace unos minutos hemos tenido un incidente de alto potencial en Huachipa. Durante el viraje de la unidad CAI841 de la empresa XianFi, esta impactó levemente en la parte posterior de un Montacargas que estaba estacionado de forma provisional (sin operador) cerca del acceso peatonal y muelle de carga.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-09,ALICORP SAA,INCIDENTE,"Aproximadamente a las 12:45 horas, la contratada se encontraba realizando labores de alimentación en la Línea 1. Producto de la fricción constante con la galleta se le pela la piel del primer dedo de la mano derecha.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-09,ALICORP SAA,INCIDENTE,"El sábado 9 de mayo, aproximadamente a las 21:15 horas, una operadora sufrió un golpe en el dedo medio de la mano derecha mientras intentaba desatorar galletas en el magazín lento de la máquina C1 de la línea de Bañados. El impacto se produjo contra una espiga de la cadena de arrastre.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-12,ALICORP SAA,INCIDENTE,"El día 12/05/2026, aproximadamente a las 10:00 am, la colaboradora que se desempeña como operaria de producción se encontraba realizando la actividad de alimentacion de galletas en envase primario en la máquina Pack C10 cuando al tratar de tomar una de las galletas que se atoró en la faja, le generó un corte superficial en el dedo índice de la mano derecha. Latrabajadora fue derivada al tópico para la debida atención y retornó a planta. El evento se encuentra en investigación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-12,ALICORP SAA,INCIDENTE,"El día 12/05/2026, aproximadamente a las 13:30 hrs, el colaborador que se desempeña como operario de producción se encontraba realizando la actividad de alimentacion de galletas hacia los magazines, al tratar de tomar una de las pilas de galletas genera un leve rozamiento con las guías metálicas, ocasionándole un corte superficial en el tercer dedo de mano derecha.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-13,ALICORP SAA,INCIDENTE,"El día 13/05/2026, aproximadamente a las 09:15 am, la colabroadora que se desempeña como operaria de producción se encontraba realizando la actividad de alimentación de frascos para la producción de esencia de vainilla de 90ml, al momento de girar para desplazarse tropieza con una plataforma metálica ubicada cerca a la zona y cae al piso.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-12,ALICORP SAA,INCIDENTE,"Aproximadamente a las 15:00 horas, el operador de maquina envasadora realizaba la actividad de jalar el laminado de galleta vainilla, el quinto dedo de la mano derecha fricciona con parte del formador de lamina y sufre un corte en la mano derecha",,,,tablero_2025_2026
SIDSUR,2026-05-11,ALICORP SAA,ALTO POTENCIAL,"Alrededor de las 05:00 a. m., los trabajadores de la zona de elaboración observaron presencia de humo, generado por el abrazamiento de galleta en el pozo de término del horno. Inmediatamente, el personal procedió a detener la línea y activar el protocolo de emergencia, logrando controlar el evento de manera oportuna.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-14,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 18:40 horas, un colaborador se encontraba haciendo cambio de formato en la linea 2, cuando en eso retirando las varillas, su mano tiene contacto con un borde filoso, ocasionando un pequeno corte.",,,,tablero_2025_2026
MOLINO PAITA,2026-05-11,ALICORP SAA,INCIDENTE,"El lunes 11/05/2026 alrededor de las 10:00 am, Un colaborador del servicio de limpieza fina (empresa Cleaned) se encontraba realizando sus labores habituales en el 5to piso del área de Molino, cuando al intentar desplazar la aspiradora  sintió una leve contacto eléctrico.",,,,tablero_2025_2026
MOLINO FAUCETT,2026-05-15,ALICORP SAA,INCIDENTE,"El viernes 15/05/2026 alrededor de las 09:48 am, el Inspector de Seguridad se encontraba revisando los hallazgos de condiciones subestándar reportadas. Durante la verificación del estado de una manguera, procedió a mover un balón GLP, ocasionando la fuga de gas por desprendimiento de la manguera, sin tener contacto directo con el gas. De inmediato, se activó el protocolo de emergencia para su posterior control.  ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-16,ALICORP SAA,INCIDENTE,"El sábado 16 de mayo, aproximadamente a las 00:00 horas, un maquinista sufrió un corte en el dedo índice de la mano derecha mientras realizaba el cambio de laminado en la envasadora D1 de la línea 4. El corte se produjo con un borde filoso del formador de paquetes.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-16,ALICORP SAA,INCIDENTE,"El día 16/05/2026, aproximadamente a las 10:00 am, la colaboradora que se desempeña como operaria de producción, se encontraba realizando la actividad de alimentado de galletas en la envasadora C8 de la línea 3, cuando se percata de una herida en el dedo producto del rozamiento con la galleta y guías de la mesa de acomodo.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-16,ALICORP SAA,INCIDENTE,"El día 16/05/2026, aproximadamente a las 08:30 am, la colaboradora de la empresa PROLABORA quien se desempeña como operariade de producción, se encontraba bajando por la escalera de la mesa 4. Al momento de pisar el primer escalón, sufrio un resbalon, lo que ocasiono su caída al nivel del piso.",,,,tablero_2025_2026
NANA,2026-05-18,ALICORP SAA,INCIDENTE,"Aproximadamente a las 11:am, el operador de producción estaba limpiando por debajo de la faja del 3er nivel de envasado, cuando retira su brazo no se percata de un perno sobresalido, y se raspa el brazo derecho. Se comunicó con el monitor de turno para ser derivado al tópico donde fue atendido por la doctora, posteriormente regresó a sus actividades.",,,,tablero_2025_2026
LURIN 2,2026-05-16,INTRADEVCO,ALTO POTENCIAL,"Durante el abastecimiento de hipoclorito de sodio al 10.5% hacia el tanque de almacenamiento desde la planta de producción, se presentó una falla en el sensor de nivel del tanque, el cual no detectó que este había alcanzado su capacidad máxima y permitió que el proceso de llenado continuara. Como consecuencia, se produjo el desfogue de hipoclorito a través de la línea de venteo/tubería hacia la zona de tanques de lejía, generando un derrame aproximado de 7 toneladas de hipoclorito de sodio al 10.5% (equivalente a 6.31 m³). El evento se encuentra en investigación para tomar las acciones respectivas.",,,,tablero_2025_2026
PREDIO CENTRAL,2026-05-14,ALICORP SAA,INCIDENTE,"La cisterna de tracto M2P854, participante en un operativo de transporte de crudo, se encontraba saliendo en condición vacía del predio central. Durante el proceso, el conductor detuvo la unidad para realizar su segundo pesaje; sin embargo, al intentar reanudar la marcha, se evidenció la emisión de humo blanco proveniente de la parte inferior de la carrocería. Ante esta condición, se aproximó el inspector de seguridad, quien instruyó al conductor a retirar la llave de contacto y abstenerse de manipular la unidad hasta la llegada del auxilio mecánico.",,,,tablero_2025_2026
LURIN 2,2026-05-20,INTRADEVCO,INCIDENTE,"Durante las actividades de guía y capacitación a personal nuevo SENATI, una colaboradora realizaba la verificación de labores de primera inyección (máquina CINCINATI 2). Durante la revisión de rebaba, la trabajadora inclinó la cabeza para observar la tarea mientras su compañero manipulaba una cuchilla (cúter), produciéndose un corte superficial leve sobre el labio superior",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-20,ALICORP SAA,INCIDENTE,"En línea de envasado L2, aproximadamente a las 10:45 hrs, un colaborador refiere estaba realizando limpieza de faja con una espatula metálica y al realizar el movimiento hacia delante en la faja que es rugosa se le desliza su mano hacia delante y se produce herida superficial en dedo pulgar de mano derecha.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-04,ALICORP SAA,DANO MATERIAL,"Aproximadamente a la 01:00 a. m., el colaborador [NOMBRE] (ETV) se encontraba realizando labores de almacenamiento en dicha área. Al momento de ingresar, un order picker accede primero a la zona, y el colaborador procede a seguirlo manteniendo distancia; tras el paso del equipo, el colaborador no se da cuenta que la puerta se encontraba en proceso de cierre automático, impactando con la misma.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-05,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 12:40 pm, el colaborador se encontraba realizando la apertura de bolsas de insumos para la preparación de mezclas de instantáneos. Al momento de realizar el corte del cintillo plástico con la cuchilla, coloca el dedo en una posición cercana al punto de contacto, generándole un pequeño corte en el dedo índice de la mano izquierda.
El evento se encuentra en investigación.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-08,ALICORP SAA,ALTO POTENCIAL,"Se reporta un incidente en CD Huachipa al promediar las 09:15PM con una unidad - placa CAI-841 (camión carreta) de la empresa Corporación XianFi S.A.C. Durante el viraje de la unidad, esta impactó levemente en la parte trasera de un montacarga que estaba estacionado de forma provisional (sin operador) cerca del acceso peatonal y muelle de carga. Solo se cuentan con daños materiales (abolladuras, daño en faro y cargador de máquina
Hace unos minutos hemos tenido un incidente de alto potencial en Huachipa. Durante el viraje de la unidad CAI841 de la empresa XianFi, esta impactó levemente en la parte posterior de un Montacargas que estaba estacionado de forma provisional (sin operador) cerca del acceso peatonal y muelle de carga",,,,tablero_2025_2026
MOLINO PAITA,2026-05-21,ALICORP SAA,INCIDENTE,"En la mañana de hoy 21/05, se identificó una máquina recién traída para el proyecto lego2 con presencia de gorgojos en el primer piso de limpia, lo cual alertó a los ingenieros de planta, quienes se acercaron al punto a validar la situación. [NOMBRE]. de Calidad comunica al técnico de plagas que se acerque al punto, cuando este llega, verifica que no hay nadie en ese piso y procede bloquear la zona e iniciar con el tratamiento de aspersión con producto cipermetrina, sin embargo, los ingenieros que habían llegado minutos antes se encontraban en el sótano 2 completando el recorrido, cuando comienzan a sentir un olor al producto químico, la Ing. [NOMBRE] observa mediante un orificio, cayéndole en el rostro algunas gotas del insecticida, y sale rápidamente en compañía de los demás. Luego siente una irritación y procede a lavarse el rostro con abundante agua y se comunicó a la central de emergencias quién la atendió y le dio seguimiento al caso, encontrándose estable al momento.",,,,tablero_2025_2026
SIDSUR,2026-05-21,ALICORP SAA,INCIDENTE,"Alrededor de las 9:30 El colaborador refiere que se encontraba realizando actividades de encajonado en el área de
Galletería. durante la manipulación y movilización de una caja de cartón el segundo dedo de la mano derecha
habría hecho contacto con el borde de la tapa de la caja, produciendose un corte superficial y leve sangrado en la
zona afectada.",,,,tablero_2025_2026
CD HUACHIPA,2026-05-21,ALICORP SAA,INCIDENTE,"En CD Huachipa, aproximadamente a las 02:45 pm, se registró un incidente en el patio de maniobras. El transporte de la empresa [NOMBRE], con placa AKD924, correspondiente al viaje 1000121022, durante la maniobra de estacionamiento y retroceso, impactó los pallets que se encontraban ubicados en la zona asignada. Se tomó el testimonio del transportista, quien manifestó no haberse percatado ni haber sentido el impacto durante la maniobra.No se reportaron daños al personal; sin embargo, algunos pallets resultaron caídos y/o desacomodados producto del incidente.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-22,ALICORP SAA,INCIDENTE,"El viernes 22 de mayo, aproximadamente a las 18:00 horas, una operaria de producción sufrió un golpe en el quinto dedo de la mano izquierda con el borde del soporte estructural del magazín de alimentación de la máquina Torre 2. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-26,ALICORP SAA,INCIDENTE,"En la línea de envasado L3, aproximadamente a las 12:41 hrs, un colaborador se encontraba realizando la alimentación de galletas y se produce herida superficial en el 3er dedo de mano izquierda con el producto.De manera inmediata, comunico el hecho al Ingeniero de Turno y fue derivado al tópico para su evaluación.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-05-26,ALICORP SAA,INCIDENTE,"El día 26/05/2026 aproximadamente a las 13:55 horas, el colaborador que se desempeña como operario de producción, se encontraba en la mesa de acomodo realizando la tarea de alimentación de galletas, cuando intentó
mover una pila de bandejas hacia otra posición.Al momento de jalar la pila se golpea con la estructura porta bandejas que se encontraba al costado y le generó un corte en el dedo del medio de la mano derecha.",,,,tablero_2025_2026
